범죄대분류,범죄중분류,시간대,범죄건수,시간대2
강력범죄,살인기수,0시00분-02시59분,21.25,0:00-02:59
강력범죄,살인미수등,0시00분-02시59분,42.0,0:00-02:59
강력범죄,강도,0시00분-02시59분,121.38,0:00-02:59
강력범죄,강간,0시00분-02시59분,793.12,0:00-02:59
절도범죄,절도,0시00분-02시59분,15786.75,0:00-02:59
폭력범죄,상해,0시00분-02시59분,4833.88,0:00-02:59
폭력범죄,폭행,0시00분-02시59분,21542.75,0:00-02:59
폭력범죄,협박,0시00분-02시59분,1736.5,0:00-02:59
마약범죄,마약,0시00분-02시59분,704.12,0:00-02:59
강력범죄,살인기수,03시00분-05시59분,27.25,03:00-05:59
강력범죄,살인미수등,03시00분-05시59분,59.0,03:00-05:59
강력범죄,강도,03시00분-05시59분,147.38,03:00-05:59
강력범죄,강간,03시00분-05시59분,1048.12,03:00-05:59
절도범죄,절도,03시00분-05시59분,16865.75,03:00-05:59
폭력범죄,상해,03시00분-05시59분,4075.88,03:00-05:59
폭력범죄,폭행,03시00분-05시59분,18693.75,03:00-05:59
폭력범죄,협박,03시00분-05시59분,1456.5,03:00-05:59
마약범죄,마약,03시00분-05시59분,674.12,03:00-05:59
강력범죄,살인기수,06시00분-08시59분,26.25,06:00-08:59
강력범죄,살인미수등,06시00분-08시59분,38.0,06:00-08:59
강력범죄,강도,06시00분-08시59분,60.38,06:00-08:59
강력범죄,강간,06시00분-08시59분,580.12,06:00-08:59
절도범죄,절도,06시00분-08시59분,15792.75,06:00-08:59
폭력범죄,상해,06시00분-08시59분,2914.88,06:00-08:59
폭력범죄,폭행,06시00분-08시59분,11661.75,06:00-08:59
폭력범죄,협박,06시00분-08시59분,1759.5,06:00-08:59
마약범죄,마약,06시00분-08시59분,611.12,06:00-08:59
강력범죄,살인기수,09시00분-11시59분,34.25,09:00-11:59
강력범죄,살인미수등,09시00분-11시59분,53.0,09:00-11:59
강력범죄,강도,09시00분-11시59분,75.38,09:00-11:59
강력범죄,강간,09시00분-11시59분,456.12,09:00-11:59
절도범죄,절도,09시00분-11시59분,24199.75,09:00-11:59
폭력범죄,상해,09시00분-11시59분,3634.88,09:00-11:59
폭력범죄,폭행,09시00분-11시59분,13907.75,09:00-11:59
폭력범죄,협박,09시00분-11시59분,2708.5,09:00-11:59
마약범죄,마약,09시00분-11시59분,1095.12,09:00-11:59
강력범죄,살인기수,12시00분-14시59분,44.25,12:00-14:59
강력범죄,살인미수등,12시00분-14시59분,55.0,12:00-14:59
강력범죄,강도,12시00분-14시59분,84.38,12:00-14:59
강력범죄,강간,12시00분-14시59분,488.12,12:00-14:59
절도범죄,절도,12시00분-14시59분,29865.75,12:00-14:59
폭력범죄,상해,12시00분-14시59분,3692.88,12:00-14:59
폭력범죄,폭행,12시00분-14시59분,14825.75,12:00-14:59
폭력범죄,협박,12시00분-14시59분,2671.5,12:00-14:59
마약범죄,마약,12시00분-14시59분,1233.12,12:00-14:59
강력범죄,살인기수,15시00분-17시59분,39.25,15:00-17:59
강력범죄,살인미수등,15시00분-17시59분,69.0,15:00-17:59
강력범죄,강도,15시00분-17시59분,88.38,15:00-17:59
강력범죄,강간,15시00분-17시59분,474.12,15:00-17:59
절도범죄,절도,15시00분-17시59분,31251.75,15:00-17:59
폭력범죄,상해,15시00분-17시59분,4351.88,15:00-17:59
폭력범죄,폭행,15시00분-17시59분,17107.75,15:00-17:59
폭력범죄,협박,15시00분-17시59분,3107.5,15:00-17:59
마약범죄,마약,15시00분-17시59분,1350.12,15:00-17:59
강력범죄,살인기수,18시00분-20시59분,49.25,18:00-20:59
강력범죄,살인미수등,18시00분-20시59분,75.0,18:00-20:59
강력범죄,강도,18시00분-20시59분,97.38,18:00-20:59
강력범죄,강간,18시00분-20시59분,588.12,18:00-20:59
절도범죄,절도,18시00분-20시59분,29927.75,18:00-20:59
폭력범죄,상해,18시00분-20시59분,5252.88,18:00-20:59
폭력범죄,폭행,18시00분-20시59분,23020.75,18:00-20:59
폭력범죄,협박,18시00분-20시59분,3724.5,18:00-20:59
마약범죄,마약,18시00분-20시59분,1236.12,18:00-20:59
강력범죄,살인기수,21시00분-23시59분,55.25,21:00-23:59
강력범죄,살인미수등,21시00분-23시59분,91.0,21:00-23:59
강력범죄,강도,21시00분-23시59분,123.38,21:00-23:59
강력범죄,강간,21시00분-23시59분,882.12,21:00-23:59
절도범죄,절도,21시00분-23시59분,23266.75,21:00-23:59
폭력범죄,상해,21시00분-23시59분,8100.88,21:00-23:59
폭력범죄,폭행,21시00분-23시59분,36436.75,21:00-23:59
폭력범죄,협박,21시00분-23시59분,3857.5,21:00-23:59
마약범죄,마약,21시00분-23시59분,1134.12,21:00-23:59
